
( 2017-05-21 16:02:40 (MSK) ) Выброшено исключение: SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
( 2017-05-21 16:02:40 (MSK) ) Выброшено исключение: SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
( 2017-05-21 17:56:01 (MSK) ) Сработала функция exceptionCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: Imagine\Exception\RuntimeException; Информация об ошибке: Imagick not installed; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Imagick\Imagine.php; Строка: 36
( 2017-05-21 17:56:58 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: mkdir(): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\image.php; Строка: 56
( 2017-05-21 17:56:58 (MSK) ) Сработала функция exceptionCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: Imagine\Exception\RuntimeException; Информация об ошибке: imagejpeg(thumbnails/products_img/Curaprox/cs-5460-ultra-soft21133720-poterpite.jpg): failed to open stream: No such file or directory; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Gd\Image.php; Строка: 697
( 2017-05-21 18:01:33 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: exif_read_data(medium21145360-poterpite.jpg): Illegal IFD size; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Image\Metadata\ExifMetadataReader.php; Строка: 97
( 2017-05-21 18:02:28 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: exif_read_data(medium21145830-poterpite.jpg): Illegal IFD size; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Image\Metadata\ExifMetadataReader.php; Строка: 97
( 2017-05-21 18:17:58 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: exif_read_data(medium21143920-poterpite.jpg): Illegal IFD size; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Image\Metadata\ExifMetadataReader.php; Строка: 97
( 2017-05-21 18:17:58 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: exif_read_data(medium21143920-poterpite.jpg): Illegal IFD size; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Image\Metadata\ExifMetadataReader.php; Строка: 97
( 2017-05-21 18:18:37 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: exif_read_data(medium21142270-poterpite.jpg): Illegal IFD size; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Image\Metadata\ExifMetadataReader.php; Строка: 97
( 2017-05-21 18:18:37 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: exif_read_data(medium21142270-poterpite.jpg): Illegal IFD size; Файл: D:\OpenServer\domains\pot2\vendor\imagine\imagine\lib\Imagine\Image\Metadata\ExifMetadataReader.php; Строка: 97
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Kavo/2149_gendex_expert_dc_65_vysokochastotnyy_nastennyy_rentgenovskiy_apparat_969-600x600.png): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
( 2017-05-21 18:26:00 (MSK) ) Сработала функция errorCatcher; Сбой в работе сайта. Код ошибки/Класс ошибки: 2; Информация об ошибке: unlink(thumbnails/products_img/Kavo/3334_dispodent-a11592-600x600.jpg): No such file or directory; Файл: D:\OpenServer\domains\pot2\engine\handlers\imagedropper.php; Строка: 22
