Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
white-teeth-whitening-pen,Отбеливающий карандаш White Teeth  Whitening Pen,"<h2>Что это? </h2>
<p>Это отбеливающий карандаш для поддержания белизны зубов после процедуры отбеливания </p>
<h2>Комплектация:</h2>
<p><span mce-data-marked=""1"">Карандаш с отбеливающим гелем</span></p>",Amazing White,Отбеливание,"amazing-white, otbielivaniie, people",false,Title,Default Title,,,,,"",0,,1,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,kg,
gendex-expert-dc-65,Рентгеновский аппарат Gendex Expert DC 65,"<h2>Что это? </h2>
<p><span>Это высокочастотный настенный рентгеновский аппарат</span></p>
<h2><span>Характеристики: </span></h2>
<p><span>Длина консол: 165 см</span></p>
<p><span>Уровень фильтрации: 2 мм</span></p>
<p><span>Анодное напряжение: 65 кВ</span></p>
<p><span>Анодная сила тока: 7 мА</span></p>
<p><span>Фокус: 20-30 см</span></p>
<p><span>Время экспозиции: 0,02 - 2 с</span></p>",Kavo,Апекслокаторы,"apiekslokatory, dentist, kavo",true,Title,Default Title,,,,,"",0,,1,deny,manual,147899.00,148199.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/gendex_expert_dc_65_vysokochastotnyy_nastennyy_rentgenovskiy_apparat_969-600x600.png?v=1484756377,1,,false,,,,,,,,,,,,,,,,,kg,
c-gendex-gxs-700,Cистема компьютерной радиовизиографии Gendex GXS-700,"<h2>Что это? </h2>
<p>Это модель последнего поколения <span>цифровых интраоральных визиографов компании Gendex</span></p>
<h2><span>Характеристики: </span></h2>
<p><span>Наружные размеры: 31 x 42 25 x 37 мм</span></p>
<p><span>Размер пикселя: 19,5 мкм 19,5 мкм</span></p>
<p><span>Сенсорная техника: усовершенствованная версия CMOS </span></p>
<p><span>Технология сцинтиллятора: Csl-сцинтиллятор </span></p>
<p><span>Формат изображения 1346 x 1850 пикселей</span></p>
<p><span>Соединение: высокоскоростной порт USB 2.0</span></p>",Kavo,Апекслокаторы,"apiekslokatory, dentist, kavo",true,Title,Default Title,,,,,"",0,,1,deny,manual,151799.00,151999.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/dispodent-a11592-600x600.jpg?v=1484756098,1,,false,,,,,,,,,,,,,,,,,kg,
c-gendex-gxs-700,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1339/0281/products/dispodent-a11591-600x600.jpg?v=1484756099,2,,,,,,,,,,,,,,,,,,,,
kodak-cs2100,Дентальный рентген-аппарат Kodak CS2100,"<h2>Что это?</h2>
<p>Это в<span>ысокочастотный </span>интраоральный рентген-аппарат для получения снимков высокого качества </p>
<h2>Характеристики: </h2>
<p>Микропроцессорный таймер</p>
<p>Переключение режимов пленка/радиовизиграф</p>
<p>Напряжение на генераторе: 60 кВт</p>
<p>Анодный ток: 7 мА</p>
<p>Фокальное пятно: 0,7 мм</p>
<p>Система стабилизации напряжения на генераторе: есть</p>
<p>Индикация полученной пациентом дозы облучения после экспозиции: есть</p>
<p>Возможность локальной или удаленной установки таймера: есть</p>
<p>Антивибрационный кронштейн: есть</p>
<p>Возможность подсоединения дополнительной (удаленной) спусковой кнопки: есть </p>
<p> </p>",Carestream Dental,Апекслокаторы,"apiekslokatory, carestream-dental, people",true,Title,Default Title,,,,,"",0,,1,deny,manual,122399.00,122999.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/cs2100_643-600x600.jpg?v=1484755139,1,,false,,,,,,,,,,,,,,,,,kg,
kodak-cs2100,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1339/0281/products/cs2100_131-600x600.jpg?v=1484755140,2,,,,,,,,,,,,,,,,,,,,
cavitron-select,Портативный ультразвуковой  скелер Cavitron Select,"<h2>Что это? </h2>
<p>Это портативный ультразвуковой скелер, который предназначен для удаления зубного камня <span> с автономным резервуаром для воды</span></p>
<h2>Характеристики:</h2>
<p><span>Выходная мощность: </span><span>30000 колебаний в минуту</span></p>
<p><span>Подача жидкости: автономная, не требуется подключение к водопроводу</span></p>
<p><span>Наконечник: SteriMate </span></p>
<h2>Комплектация: </h2>
<p>Скелер Cavitron Select: 1 шт<br> Насадка 25K FSI 1000: 1 шт </p>
<p> </p>",Maillefer,Апекслокаторы,"apiekslokatory, dentist, maillefer",true,Title,Default Title,,,,,"",0,,1,deny,manual,69999.00,70399.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/cavitron_select_portativnyy_ultrazvukovoy_skeyler_321-600x600.jpg?v=1484753537,1,,false,,,,,,,,,,,,,,,,,kg,
uds-m,Портативный скелер UDS-M,"<h2>Что это? </h2>
<p>Это портативный скелер, который предназначен для удаления зубного камня</p>
<h2>Характеристики:</h2>
<p>Параметры сети питания: 100 - 240В; 50/60 Гц</p>
<p>Выходная мощность: 3 - 20 Вт (регулируемая) </p>
<p>Рабочая частота: 28 ± 3 кГц</p>
<p>Давление воды 0,01-0,5 МПа</p>
<p>Вес основного блока: <span>0,7 кг </span></p>
<p>Вес блока питани: 0,3 кг</p>
<p>Размеры 183 х 155 х 75 мм</p>
<p><span>Подключение к магистральной воде</span></p>
<p> </p>",Woodpecker,Апекслокаторы,"apiekslokatory, dentist, woodpecker",true,Title,Default Title,,,,,"",0,,1,deny,manual,17499.00,17999.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/uds_m_portativnyy_skaler_dlya_udaleniya_zubnogo_kamnya_662-600x600.jpg?v=1484752841,1,,false,,,,,,,,,,,,,,,,,kg,
endo-mini,Эндодонтический мотор ЭндоЭст Мотор-Мини,"<h2>Что это? </h2>
<p>Это <span>эндодонтический мотор, который предназначен для работы с вращающимися Ni-Ti инструментами Российско-Израильской компании Geosoft </span></p>
<h2><span>Характеристики: </span></h2>
<p><span>Источник питания: аккумулятор (3,7В; 750мА/ч)</span></p>
<p><span>Монохромный ЖК-дисплей: 16х32 мм</span></p>
<p><span>Головка микромотора: модель EH-20ML (миниатюрная, с фрикционным креплением</span></p>
<p><span>Передаточное отношение 1:1</span></p>
<p><span>Фиксация файл: защелка</span></p>
<p><span>Скорость вращения: от 200 до 600 оборотов в минут</span></p>
<h2>Комплектация: </h2>
<p>Блок управления: 1шт</p>
<p>Головка микромотора<span>: 1шт</span></p>
<p>Подставка зарядного устройства<span>: 1шт</span></p>
<p>Кабель апекслокатора (только в модификациях ""Apexlocation"" и ""Reciprocation"")</p>
<p>Загубник ""Oral Hook"" (только в модификациях ""Apexlocation"" и ""Reciprocation"")</p>
<p>Переходник для подключения внешнего апекслокатора (только в модификации ""Basic"")</p>
<p>Сетевое зарядное устройство<span>: 1шт</span></p>
<p>Руководство по эксплуатации<span>: 1шт</span></p>
<p>Карта файлов</p>",Geosoft,Эндодонтические инструменты,"dentist, endodontichieskiie-instrumienty, geosoft",true,Title,Default Title,,,,,"",0,,1,deny,manual,38599.00,38999.00,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/endoest-motor-mini-geosoft-rocciya-izrail-3209-600x600.png?v=1484752467,1,,false,,,,,,,,,,,,,,,,,kg,
gold-reciproc,Эндодонтический мотор Gold Reciproc,"<h2>Что это? </h2>
<p>Это <span>эндодонтический мотор, который обладает функцией Reciproc, в комплект с мотором входят апекслокатор и наконечник Sirona 6:1</span></p>
<h2>Комплектация: </h2>
<p><span>Микромотор: 1 шт</span></p>
<p><span>Длина кабеля: 1.8 м<br></span></p>
<p><span>Угловой понижающий наконечник VDW 6: 1 шт</span></p>
<p><span>Защитные силиконовые чехлы для наконечника: 2 шт</span></p>
<p><span>Загубный держатель: 2 шт</span></p>
<p><span>Шнур загубного держателя: 1 шт, длина 1.7 м</span></p>
<p><span>Держатель файла: 2 шт</span></p>
<p><span>Шнур держателя файла: 1 шт, длина 1.7 м</span></p>
<p><span>Ножная педаль со шнуром: длина 1.7 м</span></p>
<p><span>Зарядное устройство: 1 шт</span></p>
<p><span>Инструкция: 1 шт</span></p>",VDW,Эндодонтические инструменты,"dentist, endodontichieskiie-instrumienty, vdw",true,Title,Default Title,,,,,"",0,,1,deny,manual,150999.00,,true,true,"",https://cdn.shopify.com/s/files/1/1339/0281/products/vdw-gold-reciproc--system-kit-1.jpg?v=1484751857,1,,false,,,,,,,,,,,,,,,,,kg,
